,name,lang,stars,commits,issues,tags,releases,last_commit,description,url
0,freeCodeCamp/freeCodeCamp,javascript,312973,25898,14626,0,0,2020-07-28 08:35:56+00:00,freeCodeCamp.org's open source codebase and curriculum. Learn to code at home.,https://github.com/freeCodeCamp/freeCodeCamp
1,vuejs/vue,javascript,168854,3104,9092,249,208,2020-07-01 09:11:46+00:00,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",https://github.com/vuejs/vue
2,facebook/react,javascript,153008,13439,9400,131,90,2020-07-28 16:38:13+00:00,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",https://github.com/facebook/react
3,twbs/bootstrap,javascript,143130,19920,19467,59,59,2020-07-28 13:58:47+00:00,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap
4,airbnb/javascript,javascript,98198,1828,1006,94,0,2020-06-23 05:55:52+00:00,JavaScript Style Guide,https://github.com/airbnb/javascript
5,d3/d3,javascript,92614,4215,2048,263,155,2020-04-20 17:58:56+00:00,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",https://github.com/d3/d3
6,facebook/react-native,javascript,88975,20577,19819,347,147,2020-07-29 00:28:26+00:00,A framework for building native apps with React.,https://github.com/facebook/react-native
7,facebook/create-react-app,javascript,80613,2569,6024,362,74,2020-07-28 19:38:08+00:00,Set up a modern web app by running one command.,https://github.com/facebook/create-react-app
8,axios/axios,javascript,75563,959,2444,44,23,2020-07-15 16:04:59+00:00,Promise based HTTP client for the browser and node.js,https://github.com/axios/axios
9,trekhleb/javascript-algorithms,javascript,75384,812,145,0,0,2020-07-26 11:23:36+00:00,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms
10,nodejs/node,javascript,71883,31265,11944,613,171,2020-07-28 15:40:43+00:00,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,https://github.com/nodejs/node
11,FortAwesome/Font-Awesome,javascript,63551,70,16278,62,38,2020-07-15 21:34:39+00:00,"The iconic SVG, font, and CSS toolkit",https://github.com/FortAwesome/Font-Awesome
12,mrdoob/three.js,javascript,62360,34088,9906,110,110,2020-07-28 21:18:26+00:00,JavaScript 3D library.,https://github.com/mrdoob/three.js
13,mui-org/material-ui,javascript,59622,12266,11504,278,268,2020-07-28 14:35:38+00:00,"React components for faster and easier web development. Build your own design system, or start with Material Design.",https://github.com/mui-org/material-ui
14,angular/angular.js,javascript,59493,9009,8998,206,0,2020-07-16 16:32:02+00:00,AngularJS - HTML enhanced for web apps!,https://github.com/angular/angular.js
15,30-seconds/30-seconds-of-code,javascript,58295,4953,249,6,4,2020-07-25 06:23:24+00:00,Short JavaScript code snippets for all your development needs,https://github.com/30-seconds/30-seconds-of-code
16,webpack/webpack,javascript,55057,11531,7264,433,225,2020-07-23 11:44:34+00:00,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",https://github.com/webpack/webpack
17,jquery/jquery,javascript,53758,6502,2039,152,1,2020-07-27 19:14:05+00:00,jQuery JavaScript Library,https://github.com/jquery/jquery
18,hakimel/reveal.js,javascript,52728,2699,1840,32,31,2020-06-09 07:18:27+00:00,The HTML Presentation Framework,https://github.com/hakimel/reveal.js
19,atom/atom,javascript,52524,37606,15929,546,516,2020-07-10 20:35:37+00:00,:atom: The hackable text editor,https://github.com/atom/atom
20,vercel/next.js,javascript,51336,6561,6937,865,746,2020-07-28 23:00:56+00:00,The React Framework,https://github.com/vercel/next.js
21,socketio/socket.io,javascript,50298,1730,2864,128,18,2020-07-09 09:32:48+00:00,Realtime application framework (Node.JS server),https://github.com/socketio/socket.io
22,chartjs/Chart.js,javascript,49761,3262,5292,49,45,2020-07-28 21:24:55+00:00,Simple HTML5 Charts using the <canvas> tag,https://github.com/chartjs/Chart.js
23,expressjs/express,javascript,49469,5591,3337,280,141,2020-07-27 19:15:54+00:00,"Fast, unopinionated, minimalist web framework for node.",https://github.com/expressjs/express
24,typicode/json-server,javascript,48596,794,885,122,7,2020-06-16 02:54:05+00:00,Get a full fake REST API with zero coding in less than 30 seconds (seriously),https://github.com/typicode/json-server
25,Semantic-Org/Semantic-UI,javascript,48237,6684,6110,159,153,2018-10-21 20:59:02+00:00,Semantic is a UI component framework based around useful principles from natural language.,https://github.com/Semantic-Org/Semantic-UI
26,goldbergyoni/nodebestpractices,javascript,48183,1924,198,0,0,2020-07-26 14:01:39+00:00,:white_check_mark:  The Node.js best practices list (July 2020),https://github.com/goldbergyoni/nodebestpractices
27,adam-p/markdown-here,javascript,47525,807,556,49,11,2018-09-30 13:17:46+00:00,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",https://github.com/adam-p/markdown-here
28,awesome-selfhosted/awesome-selfhosted,javascript,47257,3790,529,0,0,2020-07-19 09:28:51+00:00,A list of Free Software network services and web applications which can be hosted locally. Selfhosting is the process of hosting and managing applications instead of renting from Software-as-a-Service providers,https://github.com/awesome-selfhosted/awesome-selfhosted
29,h5bp/html5-boilerplate,javascript,46432,1879,1181,40,32,2020-07-27 14:40:37+00:00,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",https://github.com/h5bp/html5-boilerplate
0,microsoft/vscode,typescript,100554,68925,94270,155,11,2020-07-29 02:10:51+00:00,Visual Studio Code,https://github.com/microsoft/vscode
1,denoland/deno,typescript,65819,4005,2796,119,93,2020-07-29 00:44:34+00:00,A secure JavaScript and TypeScript runtime,https://github.com/denoland/deno
2,angular/angular,typescript,63683,18456,21249,550,0,2020-07-28 22:17:32+00:00,One framework. Mobile & desktop.,https://github.com/angular/angular
3,puppeteer/puppeteer,typescript,63556,1929,4187,51,50,2020-07-28 08:37:49+00:00,Headless Chrome Node.js API,https://github.com/puppeteer/puppeteer
4,microsoft/TypeScript,typescript,62600,30793,27124,126,106,2020-07-28 20:49:42+00:00,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/microsoft/TypeScript
5,ant-design/ant-design,typescript,62066,19064,18215,407,355,2020-07-28 12:14:37+00:00,🌈  A UI Design Language and React UI library,https://github.com/ant-design/ant-design
6,reduxjs/redux,typescript,53899,3025,1782,69,61,2020-07-26 21:02:27+00:00,Predictable state container for JavaScript apps,https://github.com/reduxjs/redux
7,storybookjs/storybook,typescript,51181,28934,5799,824,548,2020-07-29 00:50:42+00:00,"📓 The UI component workshop. Develop, document, & test for React, Vue, Angular, Ember, Web Components, & more!",https://github.com/storybookjs/storybook
8,ionic-team/ionic-framework,typescript,41390,10439,17840,239,208,2020-07-27 14:24:15+00:00,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",https://github.com/ionic-team/ionic-framework
9,grafana/grafana,typescript,36278,25981,17007,208,184,2020-07-28 16:09:20+00:00,"The tool for beautiful monitoring and metric analytics & dashboards for Graphite, InfluxDB & Prometheus & More",https://github.com/grafana/grafana
10,vercel/hyper,typescript,33801,1926,3042,101,64,2020-07-18 22:07:50+00:00,A terminal built on web technologies,https://github.com/vercel/hyper
11,cdr/code-server,typescript,33432,1190,1588,47,46,2020-07-22 22:31:24+00:00,VS Code in the browser,https://github.com/cdr/code-server
12,facebook/jest,typescript,31890,4968,5555,187,105,2020-07-28 11:16:10+00:00,Delightful JavaScript Testing.,https://github.com/facebook/jest
13,pixijs/pixi.js,typescript,30130,5378,4133,123,112,2020-07-28 21:03:58+00:00,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",https://github.com/pixijs/pixi.js
14,DefinitelyTyped/DefinitelyTyped,typescript,29150,70347,6749,1,1,2020-07-28 23:30:21+00:00,The repository for high quality TypeScript type definitions.,https://github.com/DefinitelyTyped/DefinitelyTyped
15,nestjs/nest,typescript,28947,5695,2751,155,52,2020-07-28 19:17:52+00:00,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀",https://github.com/nestjs/nest
16,vuetifyjs/vuetify,typescript,26699,9928,8811,367,354,2020-07-28 13:34:06+00:00,🐉 Material Component Framework for Vue,https://github.com/vuetifyjs/vuetify
17,ant-design/ant-design-pro,typescript,25922,2180,5849,25,18,2020-07-27 06:18:19+00:00,👨🏻‍💻👩🏻‍💻 Use Ant Design like a Pro!,https://github.com/ant-design/ant-design-pro
18,jiahaog/nativefier,typescript,24118,864,816,97,40,2020-07-23 01:08:07+00:00,Make any web page a desktop application,https://github.com/jiahaog/nativefier
19,angular/angular-cli,typescript,23627,6206,11959,440,299,2020-07-28 19:23:32+00:00,CLI tool for Angular,https://github.com/angular/angular-cli
20,formium/formik,typescript,23556,1442,1708,180,133,2020-07-26 20:41:07+00:00,"Build forms in React, without the tears 😭 ",https://github.com/formium/formik
21,ReactiveX/rxjs,typescript,22499,4066,2650,117,0,2020-07-23 17:11:02+00:00,A reactive programming library for JavaScript,https://github.com/ReactiveX/rxjs
22,niklasvh/html2canvas,typescript,21125,949,1954,31,26,2020-07-28 15:59:49+00:00,Screenshots with JavaScript,https://github.com/niklasvh/html2canvas
23,akveo/ngx-admin,typescript,21032,520,1573,24,15,2020-06-17 18:41:04+00:00,Customizable admin dashboard template based on Angular 9+,https://github.com/akveo/ngx-admin
24,t4t5/sweetalert,typescript,20895,359,662,34,13,2019-04-29 04:31:36+00:00,"A beautiful replacement for JavaScript's ""alert""",https://github.com/t4t5/sweetalert
25,typeorm/typeorm,typescript,20113,4275,5064,55,0,2020-07-26 10:30:49+00:00,"ORM for TypeScript and JavaScript (ES7, ES6, ES5). Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.",https://github.com/typeorm/typeorm
26,angular/components,typescript,20101,7308,11227,149,148,2020-07-29 02:10:43+00:00,Component infrastructure and Material Design components for Angular,https://github.com/angular/components
27,railsware/upterm,typescript,19590,2998,753,260,187,2019-05-20 17:42:14+00:00,A terminal emulator for the 21st century.,https://github.com/railsware/upterm
28,doczjs/docz,typescript,18993,1578,1105,205,126,2020-05-06 08:25:07+00:00,✍ It has never been so easy to document your things!,https://github.com/doczjs/docz
29,NativeScript/NativeScript,typescript,18807,6110,5745,97,60,2020-07-22 20:53:35+00:00,"NativeScript empowers you to access native api's from JavaScript directly. Angular, Vue, Svelte, React and you name it compatible.",https://github.com/NativeScript/NativeScript
0,CyC2018/CS-Notes,java,107235,3641,413,0,0,2020-05-26 17:54:11+00:00,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计、Java、Python、C++,https://github.com/CyC2018/CS-Notes
1,Snailclimb/JavaGuide,java,84867,2460,435,0,0,2020-07-28 07:09:03+00:00,「Java学习+面试指南」一份涵盖大部分Java程序员所需要掌握的核心知识。,https://github.com/Snailclimb/JavaGuide
2,iluwatar/java-design-patterns,java,58808,2531,627,15,0,2020-07-28 17:53:31+00:00,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns
3,MisterBooo/LeetCodeAnimation,java,57145,225,39,0,0,2020-06-28 00:39:10+00:00,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,https://github.com/MisterBooo/LeetCodeAnimation
4,elastic/elasticsearch,java,50146,53855,24386,278,29,2020-07-29 00:13:02+00:00,"Open Source, Distributed, RESTful Search Engine",https://github.com/elastic/elasticsearch
5,spring-projects/spring-boot,java,49476,27888,18162,162,64,2020-07-28 19:36:24+00:00,Spring Boot,https://github.com/spring-projects/spring-boot
